ticker,Company Name
AI,ARLINGTON ASSET INVESTMENT CORP.
AMG,"AFFILIATED MANAGERS GROUP, INC."
APO,"APOLLO GLOBAL MANAGEMENT, INC."
BX,BLACKSTONE GROUP INC
CG,CARLYLE GROUP L.P.
CNS,COHEN & STEERS INC
DHIL,DIAMOND HILL INVESTMENT GROUP INC
EV,EATON VANCE CORP
FII,FEDERATED INVESTORS INC /PA/
GROW,U S GLOBAL INVESTORS INC
IVZ,INVESCO LTD.
JLL,JONES LANG LASALLE INC
KKR,KKR & CO. INC.
MIC,MACQUARIE INFRASTRUCTURE CORP
MN,"MANNING & NAPIER, INC."
OCN,OCWEN FINANCIAL CORP
OZM,OCH-ZIFF CAPITAL MANAGEMENT GROUP INC.
PZN,"PZENA INVESTMENT MANAGEMENT, INC."
WAC,DITECH HOLDING CORP
WDR,WADDELL & REED FINANCIAL INC
WETF,"WISDOMTREE INVESTMENTS, INC."
WHG,WESTWOOD HOLDINGS GROUP INC
