Ticker,Company Name
BAC,BANK OF AMERICA CORP /DE/
BBT,BB&T CORP
BK,BANK OF NEW YORK MELLON CORP
C,CITIGROUP INC
CMA,COMERICA INC /NEW/
COF,CAPITAL ONE FINANCIAL CORP
FHN,FIRST HORIZON NATIONAL CORP
GS,GOLDMAN SACHS GROUP INC
HBAN,HUNTINGTON BANCSHARES INC/MD
JPM,JPMORGAN CHASE & CO
KEY,KEYCORP /NEW/
MS,MORGAN STANLEY
MTB,M&T BANK CORP
NTRS,NORTHERN TRUST CORP
NYCB,NEW YORK COMMUNITY BANCORP INC
PBCT,"PEOPLE'S UNITED FINANCIAL, INC."
PNC,"PNC FINANCIAL SERVICES GROUP, INC."
RF,REGIONS FINANCIAL CORP
SCHW,SCHWAB CHARLES CORP
SIVB,SVB FINANCIAL GROUP
SNV,SYNOVUS FINANCIAL CORP
STI,SUNTRUST BANKS INC
STT,STATE STREET CORP
USB,US BANCORP \DE\
WAL,WESTERN ALLIANCE BANCORPORATION
WFC,WELLS FARGO & COMPANY/MN
