Date,Index Level
2014-03-01,100
2014-03-02,100
2014-03-03,100
2014-03-04,100
2014-03-05,100
2014-03-06,100
2014-03-07,100
2014-03-08,100
2014-03-09,100
2014-03-10,100
2014-03-11,100
2014-03-12,100
2014-03-13,100
2014-03-14,100
2014-03-15,100
2014-03-16,100
2014-03-17,100
2014-03-18,100
2014-03-19,100
2014-03-20,100
2014-03-21,100
2014-03-22,100
2014-03-23,100
2014-03-24,100
2014-03-25,100
2014-03-26,100
2014-03-27,100
2014-03-28,100
2014-03-29,100
2014-03-30,100
2014-03-31,100
2014-04-01,100
2014-04-02,100
2014-04-03,100
2014-04-04,100
2014-04-05,100
2014-04-06,100
2014-04-07,100
2014-04-08,100
2014-04-09,100
2014-04-10,100
2014-04-11,100
2014-04-12,100
2014-04-13,100
2014-04-14,100
2014-04-15,100
2014-04-16,100
2014-04-17,100
2014-04-18,100
2014-04-19,100
2014-04-20,100
2014-04-21,100
2014-04-22,100
2014-04-23,100.0767913
2014-04-24,101.4845232
2014-04-25,102.9555907
2014-04-26,102.9555907
2014-04-27,102.9555907
2014-04-28,102.9555907
2014-04-29,102.9555907
2014-04-30,102.9555907
2014-05-01,102.9555907
2014-05-02,102.9555907
2014-05-03,102.9555907
2014-05-04,102.9555907
2014-05-05,102.9555907
2014-05-06,102.9555907
2014-05-07,102.9555907
2014-05-08,102.9555907
2014-05-09,102.9555907
2014-05-10,102.9555907
2014-05-11,102.9555907
2014-05-12,102.9555907
2014-05-13,102.9555907
2014-05-14,102.9555907
2014-05-15,102.9555907
2014-05-16,102.9555907
2014-05-17,102.9555907
2014-05-18,102.9555907
2014-05-19,102.9555907
2014-05-20,102.9555907
2014-05-21,102.9555907
2014-05-22,102.9555907
2014-05-23,102.9555907
2014-05-24,102.9555907
2014-05-25,102.9555907
2014-05-26,102.9555907
2014-05-27,102.9555907
2014-05-28,102.9555907
2014-05-29,102.9555907
2014-05-30,102.9555907
2014-05-31,102.9555907
2014-06-01,102.9555907
2014-06-02,102.9555907
2014-06-03,102.9555907
2014-06-04,102.9555907
2014-06-05,102.9555907
2014-06-06,102.9555907
2014-06-07,102.9555907
2014-06-08,102.9555907
2014-06-09,102.9555907
2014-06-10,102.9555907
2014-06-11,102.9555907
2014-06-12,102.9555907
2014-06-13,102.9555907
2014-06-14,102.9555907
2014-06-15,102.9555907
2014-06-16,102.9555907
2014-06-17,102.9555907
2014-06-18,102.9555907
2014-06-19,102.9555907
2014-06-20,102.9555907
2014-06-21,102.9555907
2014-06-22,102.9555907
2014-06-23,102.9555907
2014-06-24,102.9555907
2014-06-25,102.9555907
2014-06-26,102.9555907
2014-06-27,102.9555907
2014-06-28,102.9555907
2014-06-29,102.9555907
2014-06-30,102.9555907
2014-07-01,102.9555907
2014-07-02,102.9555907
2014-07-03,102.9555907
2014-07-04,102.9555907
2014-07-05,102.9555907
2014-07-06,102.9555907
2014-07-07,102.9555907
2014-07-08,102.9555907
2014-07-09,102.9555907
2014-07-10,102.9555907
2014-07-11,102.9555907
2014-07-12,102.9555907
2014-07-13,102.9555907
2014-07-14,102.9555907
2014-07-15,102.9555907
2014-07-16,102.9555907
2014-07-17,102.9555907
2014-07-18,102.9555907
2014-07-19,102.9555907
2014-07-20,102.9555907
2014-07-21,102.9555907
2014-07-22,103.0401529
2014-07-23,103.6981552
2014-07-24,104.0404163
2014-07-25,106.063407
2014-07-26,106.063407
2014-07-27,106.063407
2014-07-28,106.063407
2014-07-29,106.063407
2014-07-30,106.063407
2014-07-31,106.063407
2014-08-01,106.063407
2014-08-02,106.063407
2014-08-03,106.063407
2014-08-04,106.063407
2014-08-05,106.063407
2014-08-06,106.063407
2014-08-07,106.063407
2014-08-08,106.063407
2014-08-09,106.063407
2014-08-10,106.063407
2014-08-11,106.063407
2014-08-12,106.063407
2014-08-13,106.063407
2014-08-14,106.063407
2014-08-15,106.063407
2014-08-16,106.063407
2014-08-17,106.063407
2014-08-18,106.063407
2014-08-19,106.063407
2014-08-20,106.063407
2014-08-21,106.063407
2014-08-22,106.063407
2014-08-23,106.063407
2014-08-24,106.063407
2014-08-25,106.063407
2014-08-26,106.063407
2014-08-27,106.063407
2014-08-28,106.063407
2014-08-29,106.063407
2014-08-30,106.063407
2014-08-31,106.063407
2014-09-01,106.063407
2014-09-02,106.063407
2014-09-03,106.063407
2014-09-04,106.063407
2014-09-05,106.063407
2014-09-06,106.063407
2014-09-07,106.063407
