ticker,Company Name
ADBE,ADOBE INC.
ADSK,AUTODESK INC
ANSS,ANSYS INC
ATVI,"ACTIVISION BLIZZARD, INC."
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC."
CDNS,CADENCE DESIGN SYSTEMS INC
CERN,CERNER CORP
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD
CRM,"SALESFORCE.COM, INC."
CSGP,"COSTAR GROUP, INC."
CTXS,CITRIX SYSTEMS INC
EA,ELECTRONIC ARTS INC.
FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC."
FTNT,"FORTINET, INC."
IBM,INTERNATIONAL BUSINESS MACHINES CORP
INTU,INTUIT INC
JKHY,HENRY JACK & ASSOCIATES INC
MSCI,MSCI INC.
MSFT,MICROSOFT CORP
NOW,"SERVICENOW, INC."
ORCL,ORACLE CORP
OTEX,OPEN TEXT CORP
PANW,PALO ALTO NETWORKS INC
ROP,ROPER TECHNOLOGIES INC
SPLK,SPLUNK INC
SSNC,SS&C TECHNOLOGIES HOLDINGS INC
SYMC,SYMANTEC CORP
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC
TYL,TYLER TECHNOLOGIES INC
VRSK,"VERISK ANALYTICS, INC."
WDAY,"WORKDAY, INC."
